Group	filter	actor	item	Distance	DistanceM	Space	SpaceM	HoldT	HoldTM	Subs	SubsM	Peak	PeakM	Gaze	Duration	DurationM
0	1	2	1	5.8	0.87281	0	0.63699	0.33	-0.21837	9	0.03486	1.97	-0.26952	0	5270.00	.03
0	1	2	2	9.53	-0.0712	3	0.59136	0.33	-0.21837	11	-0.4625	2.22	-0.54108	0.16	8970.00	.15
0	1	2	3	5.43	-0.51477	1	-0.65268	0.33	-0.27436	10	-0.79197	1.32	-1.65452	0	6990.00	.58
0	1	2	4	7.52	0.49149	0	-0.81449	0.33	-0.32579	13	0.28159	2	-0.77854	0	6790.00	.27
0	0	2	5	7.72	0.35673	0	-0.51808	0.33	-0.27436	16	0.1216	3.08	0.53121	0	8840.00	.42
0	1	2	6	7.18	0.57002	0	-0.9727	0.33	-0.21837	8	0.84939	1.69	-0.73081	0	9150.00	.79
0	1	2	7	5.59	-0.58479	0	-0.53183	0.33	-0.21837	24	-0.23986	2.07	-0.66917	0	8600.00	.56
0	1	2	8	5.9	-0.27746	0	-0.55923	0.33	-0.21837	18	-0.46071	1.55	-1.16708	0	6960.00	-.09
0	1	2	9	8.75	0.60825	1	-0.23096	0.33	-0.21837	15	-0.44734	2.59	-0.01803	0	8000.00	.71
0	1	2	10	7.78	-0.00227	0	0.59397	0.33	-0.2269	19	1.27775	2.48	-0.36101	0	11430.00	1.11
0	1	2	11	7.14	0.80159	0	0.65268	0.33	-0.32483	12	-0.35344	1.83	-0.31181	0	6130.00	-.32
0	1	2	12	5.36	-0.17109	0	0.89304	0.33	-0.2482	17	0.51161	2.41	-0.19291	0	6130.00	-.25
0	1	2	13	7.77	-0.29008	1	0.18716	0.33	-0.32483	17	-0.24539	1.87	-0.696	0	10760.00	1.22
0	1	2	14	5.05	-0.17633	0	0.87051	0.33	-2.8332	7	-0.52291	1.64	-0.4273	0	5710.00	-.23
0	0	2	15	7.75	0.6792	1	0	0.33	-2.8332	15	1.24856	1.95	-0.42452	0	10910.00	1.69
0	1	2	16	6.32	0.29604	3	0.28103	0.33	-0.27436	8	-0.70741	1.55	-0.82362	0.64	6210.00	.61
0	1	2	17	3.91	-0.18174	1	-0.80209	0.33	-0.29937	12	-0.82103	1.62	-0.35382	0	5200.00	-.54
0	1	2	18	5.2	0.13753	2	-0.36704	0.33	-0.21953	11	0.09968	2.59	0.29935	0	6610.00	.35
0	0	2	19	4.84	-0.07473	1	-0.90941	0.33	-2.8332	6	-0.45584	1.54	-1.14887	0	5070.00	-.60
0	1	2	20	13.4	0.70215	0	-0.67675	0.33	-0.37128	23	0.6954	4.07	0.77056	0	8990.00	.60
0	1	2	21	13.34	1.00251	1	0.69395	0.33	-0.27436	17	1.36794	2.18	-0.66043	0	13900.00	1.27
0	1	2	22	8.88	0.75644	1	-1.19458	0.33	-0.29734	16	0.26545	1.85	-0.70181	0	12240.00	1.80
0	1	2	23	9.25	0.46494	0	0.65268	0.33	-0.24742	25	0.10487	2.31	-0.1286	0	12740.00	1.65
0	1	2	24	7.04	0.3567	0	0.48246	0.33	-0.21953	10	0.6483	2.15	-0.14867	0	6540.00	.04
