ling,geo
0.417383,1381.2
0.424568,1574.22
0.418824,1260.42
0.425705,1702.09
0.444363,2111.03
0.452013,2289.96
0.462497,1987.24
0.443595,2413.57
0.405236,1298.04
0.438401,2036.48
0.374516,484.954
0.394376,1048.44
0.396587,1044.68
0.409951,1762.86
0.353992,574.772
0.385751,1212.73
0.409848,1405.73
0.424925,2137.81
0.40108,1022.08
0.43305,1749.91
0.39587,1236.16
0.427655,1969
0.40926,1096.49
0.4284,1832.32
0.433512,1720.21
0.448371,2438.15
0.459757,2136.49
0.465785,2315.39
0.486221,2012.71
0.465106,2438.96
0.443907,2061.78
0.427453,1072.98
0.427919,1788.32
0.432017,1237.74
0.452392,2163.26
0.444687,1775.38
0.434009,1994.43
0.445897,1857.12
0.474937,2463.59
0.431273,2099.96
0.435457,2276.77
0.423272,1975.73
0.432067,2399.83
0.415497,2027.9
0.369843,1030.11
0.371453,1750.39
0.344738,1196.26
0.409307,2127.18
0.388532,1738.75
0.38533,1958.61
0.40639,1826.97
0.449883,2425.14
0.431416,1973.65
0.437251,2157.86
0.443727,1850.97
0.43449,2282.98
0.418755,1894.12
0.406471,938.174
0.410932,1629.25
0.385953,1093.52
0.428477,1999.44
0.419777,1613.03
0.414058,1830.19
0.421367,1685.5
0.427551,2305.46
0.418179,1670.07
0.447768,2381.26
0.474414,2406.65
0.42908,2367.5
0.426706,2250.72
0.373209,709.318
0.398301,1395.15
0.434501,1420.46
0.366146,1380.59
0.421301,1268.42
0.377973,853.503
0.398601,1571.84
0.429152,1597.3
0.359446,1559.62
0.403735,1437.78
0.402434,1339.06
0.435443,2075.8
0.45543,2101.17
0.412248,2066.43
0.415904,1934.85
0.440823,1608.34
0.434164,1797.53
0.42523,1486.68
0.430068,1924.25
0.417316,1526.68
0.379766,632.616
0.38468,1268.02
0.35147,761.439
0.414726,1633.43
0.39845,1248.43
0.391126,1463.97
0.391538,1321.4
0.461423,1944.3
0.42892,1892.11
0.371606,918.972
0.36683,1076.47
0.419543,1567.62
0.437112,1965.93
0.442993,2149.17
0.440698,1843.01
0.445309,2274.05
0.419785,1887.61
0.405901,926.594
0.406259,1620.77
0.389891,1082.9
0.433328,1991.94
0.426058,1605.17
0.420633,1822.77
0.424915,1680.59
0.433416,2296.88
0.435191,2241.78
0.419376,1258.79
0.402123,1429.35
0.422897,1927.96
0.436007,1979.13
0.442078,2162.41
0.440554,1856.23
0.437068,2287.29
0.425605,1900.65
0.401671,939.293
0.412277,1634.01
0.381719,1095.92
0.43343,2005.12
0.428619,1618.39
0.422899,1835.94
0.434251,1693.25
0.438871,2310.12
0.427624,2255.02
0.421954,1271.98
0.404668,1442.59
0.424116,1941.06
0.417382,2110.84
0.417584,2287.8
0.409562,1986.65
0.405331,2410.88
0.41356,2038.53
0.37122,1041.19
0.372392,1761.37
0.375049,1207.38
0.431211,2138.02
0.385107,1749.63
0.391575,1969.42
0.4138,1837.14
0.424485,2436.16
0.422305,2378.56
0.399288,1391.67
0.388181,1570.59
0.41261,2077.14
0.415004,2087.47
0.423836,2267.18
0.447604,1963.84
0.420343,2391.02
0.405383,2012.23
0.381423,1028.59
0.38446,1739.82
0.361785,1191.66
0.410057,2114.12
0.406667,1726.41
0.399171,1945.23
0.426272,1807.47
0.432369,2415.3
0.426182,2358.72
0.378902,1373.05
0.370303,1548.71
0.415164,2051.74
0.408521,1706.64
0.413458,1899.38
0.413414,1586.1
0.412701,2026.78
0.384844,1619.43
0.332507,738.35
0.34904,1369.77
0.311218,868.786
0.381824,1730.77
0.355974,1347.76
0.355911,1561.12
0.36462,1405.28
0.434312,2045.64
0.407994,1994.7
0.335712,1024.84
0.326983,1178.39
0.388921,1662.22
0.447058,1620.87
0.441966,1810.51
0.43117,1499.35
0.434959,1937.33
0.424407,1538.48
0.389687,645.982
0.399809,1280.97
0.36494,775.083
0.422123,1645.83
0.405967,1261.07
0.403363,1476.34
0.397209,1332.02
0.464478,1957.22
0.433738,1905.19
0.376739,932.448
0.372592,1089.44
0.429471,1579.67
0.417021,820.548
0.429217,1498.05
0.455726,1523.26
0.414793,1482.7
0.408278,1373.81
0.413934,1027.86
0.394984,1363.86
0.410506,1377.02
0.390807,1493.8
0.40901,1476.33
0.388622,1134.16
0.413008,1041.39
0.376168,771.107
0.402193,1485.41
0.441705,1510.87
0.358065,1472.92
0.408054,1352.26
