ling,geo
0.173992,248.69
0.272922,128.315
0.287382,330.512
0.184595,376.459
0.106067,132.899
0.275809,463.411
0.170039,200.26
0.201024,442.542
0.244105,219.285
0.18532,562.963
0.282083,1149.63
0.304215,1285.84
0.277735,1021.33
0.297317,1399.92
0.262241,1136.43
0.217664,363.003
0.24241,529.612
0.253978,234.69
0.244302,657.74
0.176768,385.205
0.232296,786.65
0.259225,961.491
0.270817,1100.51
0.262929,833.195
0.271863,1216.6
0.233454,952.224
0.147349,188.153
0.159982,598.53
0.142912,43.1233
0.167277,258.415
0.24265,164.73
0.182559,379.95
0.169973,184.189
0.259461,1184.59
0.204315,398.282
0.237947,996.559
0.232401,361.232
0.245178,560.018
0.243305,238.336
0.249353,691.685
0.177125,337.757
0.219135,804.389
0.10744,86.3175
0.178537,618.08
0.198059,389.969
0.202527,150.533
0.237787,388.47
0.204623,83.1154
0.237945,520.028
0.15402,147.136
0.206982,1028.68
0.118584,252.013
0.167351,841.555
0.162605,169.721
0.121172,225.741
0.275932,485.475
0.31097,733.883
0.261523,445.229
0.289433,858.563
0.226618,298.335
0.25852,1042.06
0.226161,464.713
0.233721,876.419
0.250406,478.671
0.198789,380.464
0.170813,364.532
0.164421,364.998
0.122567,149.132
0.274523,466.889
0.117261,71.7741
0.197469,538.109
0.315171,1434.71
0.273231,676.379
0.305455,1249.56
0.173283,360.327
0.267021,701.954
0.253117,514.009
0.303761,836.25
0.179536,350.819
0.0951236,103.936
0.273123,433.837
0.10041,32.337
0.192602,540.627
0.298305,1367.78
0.259864,625.853
0.275806,1184.36
0.159869,356.792
0.246153,660.675
0.230731,492.333
0.301203,834.726
0.120596,88.8279
0.25355,752.925
0.267654,900.543
0.249976,624.611
0.26743,1020.54
0.230121,745.797
0.197969,396.991
0.173805,389.937
0.125311,209.164
0.227336,787.619
0.174718,409.897
0.176594,632.557
0.252447,695.367
0.299002,1049.63
0.282238,988.201
0.271149,545.289
0.269121,721.082
0.269833,418.365
0.264813,848.592
0.24358,523.378
0.212638,614.694
0.157788,191.577
0.146927,429.11
0.243933,576.779
0.180392,189.996
0.181332,415.416
0.264084,494.061
0.292372,867.954
0.272048,816.586
0.122565,222.727
0.159022,134.024
0.193519,373.193
0.233163,182.069
0.178775,493.567
0.170145,69.5022
0.250133,1154.17
0.167619,382.71
0.224192,967.878
0.15048,114.781
0.15826,349.833
0.14796,130.843
0.233605,366.486
0.211472,469.813
0.190967,471.128
0.227021,759.413
0.217148,539.537
0.25769,680.885
0.219008,808.368
0.278831,553.662
0.206297,924.25
0.25362,700.339
0.274181,477.678
0.249465,322.88
0.267843,292.419
0.242419,718.379
0.241189,363.944
0.23623,574.24
0.315669,696.05
0.248757,957.352
0.229847,892
0.254845,112.291
0.26449,201.989
0.195305,704.415
0.249367,633.416
0.262677,805.676
0.255046,506.38
0.255666,931.895
0.226445,606.774
0.183988,529.694
0.138512,277.479
0.129396,346.166
0.22839,664.878
0.151785,277.123
0.156721,502.837
0.257163,550.086
0.290326,953.222
0.265998,899.754
0.0883643,146.64
0.0716439,88.1413
0.200566,625.707
0.241698,166.47
0.325335,1078.59
0.342551,1249.41
0.34473,952.404
0.344676,1373.03
0.304138,1029.71
0.207099,216.311
0.277005,723.869
0.222888,222.627
0.306682,1108.43
0.265438,718.47
0.278263,942.662
0.300567,888.95
0.368336,1397.78
0.357089,1340.73
0.228676,358.988
0.261664,534.285
0.313944,1058.94
0.304553,467.674
0.247644,446.719
0.302432,1112.52
0.309808,1272.71
0.27984,985.119
0.31001,1393.57
0.270764,1074.82
0.169958,145.887
0.232161,753.109
0.113494,200.27
0.276356,1144.11
0.220062,755.325
0.214689,980.859
0.248282,947.836
0.3268,1421.66
0.319201,1361.23
0.168754,373.12
0.190137,567.388
0.273034,1100.54
0.28579,475.287
0.189597,479.256
0.21012,72.8796
0.215872,216.534
0.253808,464.058
0.214252,172.647
0.248961,592.959
0.153921,100.764
0.209718,1035.88
0.131155,290.182
0.197075,851.497
0.177646,220.71
0.127443,237.603
0.0950458,89.7112
0.195798,276.663
0.248685,579.588
0.2463,566.96
0.198725,645.046
0.204832,422.616
0.166416,131.543
0.249277,601.021
0.183224,506.192
0.278003,932.074
0.238171,975.912
0.241414,309.266
0.255909,465.913
0.25185,182.224
0.259105,593.728
0.173133,358.564
0.21446,842.244
0.0826294,64.0736
0.172011,654.155
0.195868,346.926
0.136561,125.393
0.129597,215.964
0.226653,480.826
0.273334,613.054
0.267194,561.819
0.190879,446.863
0.176212,255.178
0.189667,345.635
0.255436,371.645
0.1454,340.226
0.273848,785.895
0.219057,813.492
0.141447,271.371
0.277328,721.872
0.287392,900.394
0.268442,596.12
0.271943,1027.23
0.246022,680.146
0.211997,462.9
0.177936,371.154
0.142047,290.254
0.24854,751.6
0.198737,361.672
