ling,geo,lang
0.173992,248.69,-1
0.272922,128.315,-1
0.287382,330.512,-1
0.184595,376.459,-1
0.106067,132.899,-1
0.275809,463.411,-1
0.278075,739.313,1
0.170039,200.26,-1
0.201024,442.542,-1
0.244105,219.285,-1
0.18532,562.963,-1
0.282083,1149.63,-1
0.304215,1285.84,-1
0.277735,1021.33,-1
0.297317,1399.92,-1
0.262241,1136.43,-1
0.217664,363.003,-1
0.24241,529.612,-1
0.253978,234.69,-1
0.244302,657.74,-1
0.176768,385.205,-1
0.232296,786.65,-1
0.259225,961.491,-1
0.270817,1100.51,-1
0.262929,833.195,-1
0.271863,1216.6,-1
0.233454,952.224,-1
0.147349,188.153,-1
0.159982,598.53,-1
0.142912,43.1233,-1
0.167277,258.415,-1
0.24265,164.73,-1
0.182559,379.95,-1
0.169973,184.189,-1
0.259461,1184.59,-1
0.204315,398.282,-1
0.237947,996.559,-1
0.232401,361.232,-1
0.245178,560.018,-1
0.243305,238.336,-1
0.249353,691.685,-1
0.177125,337.757,-1
0.219135,804.389,-1
0.10744,86.3175,-1
0.178537,618.08,-1
0.198059,389.969,-1
0.202527,150.533,-1
0.237787,388.47,-1
0.204623,83.1154,-1
0.237945,520.028,-1
0.15402,147.136,-1
0.206982,1028.68,-1
0.118584,252.013,-1
0.167351,841.555,-1
0.162605,169.721,-1
0.121172,225.741,-1
0.275932,485.475,-1
0.31097,733.883,-1
0.261523,445.229,-1
0.289433,858.563,-1
0.226618,298.335,-1
0.25852,1042.06,-1
0.226161,464.713,-1
0.233721,876.419,-1
0.250406,478.671,-1
0.198789,380.464,-1
0.170813,364.532,-1
0.164421,364.998,-1
0.122567,149.132,-1
0.274523,466.889,-1
0.117261,71.7741,-1
0.197469,538.109,-1
0.315171,1434.71,-1
0.273231,676.379,-1
0.305455,1249.56,-1
0.173283,360.327,-1
0.267021,701.954,-1
0.253117,514.009,-1
0.303761,836.25,-1
0.375253,764.484,1
0.210017,25.4664,1
0.292346,732.16,1
0.213177,28.8843,1
0.25905,45.6989,1
0.346465,596.087,1
0.292717,149.724,1
0.347678,173.29,1
0.303475,152.358,1
0.179536,350.819,-1
0.0951236,103.936,-1
0.273123,433.837,-1
0.10041,32.337,-1
0.192602,540.627,-1
0.298305,1367.78,-1
0.259864,625.853,-1
0.275806,1184.36,-1
0.159869,356.792,-1
0.246153,660.675,-1
0.230731,492.333,-1
0.301203,834.726,-1
0.120596,88.8279,-1
0.25355,752.925,-1
0.267654,900.543,-1
0.249976,624.611,-1
0.26743,1020.54,-1
0.230121,745.797,-1
0.197969,396.991,-1
0.173805,389.937,-1
0.125311,209.164,-1
0.227336,787.619,-1
0.174718,409.897,-1
0.176594,632.557,-1
0.252447,695.367,-1
0.299002,1049.63,-1
0.282238,988.201,-1
0.271149,545.289,-1
0.269121,721.082,-1
0.269833,418.365,-1
0.264813,848.592,-1
0.24358,523.378,-1
0.212638,614.694,-1
0.157788,191.577,-1
0.146927,429.11,-1
0.243933,576.779,-1
0.180392,189.996,-1
0.181332,415.416,-1
0.264084,494.061,-1
0.292372,867.954,-1
0.272048,816.586,-1
0.122565,222.727,-1
0.159022,134.024,-1
0.193519,373.193,-1
0.233163,182.069,-1
0.178775,493.567,-1
0.170145,69.5022,-1
0.250133,1154.17,-1
0.167619,382.71,-1
0.224192,967.878,-1
0.15048,114.781,-1
0.15826,349.833,-1
0.14796,130.843,-1
0.233605,366.486,-1
0.211472,469.813,-1
0.190967,471.128,-1
0.227021,759.413,-1
0.217148,539.537,-1
0.308669,228.653,1
0.300884,511.557,1
0.376022,536.596,1
0.281082,505.577,1
0.371598,367.446,1
0.344013,589.627,1
0.311779,152.491,1
0.373819,176.801,1
0.335025,152.407,1
0.172789,14.3652,1
0.357797,361.137,1
0.337893,602.641,1
0.273692,140.407,1
0.355291,164.459,1
0.295308,141.619,1
0.0950852,12.3876,1
0.35624,374.107,1
0.148232,13.242,1
0.332226,742.558,1
0.23813,24.4554,1
0.350539,35.9763,1
0.217797,11.1141,1
0.271553,160.442,1
0.317593,515.771,1
0.282939,161.156,1
0.264306,150.02,1
0.307891,714.83,1
0.126384,25.1297,1
0.210142,49.6922,1
0.195302,37.4115,1
0.250269,124.62,1
0.332592,486.906,1
0.295303,127.403,1
0.252968,115.281,1
0.204205,40.4948,1
0.270271,325.694,1
0.296756,430.242,1
0.330485,454.349,1
0.208764,428.711,1
0.34839,281.29,1
0.186272,107.352,1
0.349389,277.766,1
0.339287,289.904,1
0.341761,438.078,1
0.309916,405.135,1
0.324459,240.611,1
0.301344,500.54,1
0.383192,525.504,1
0.289605,495.03,1
0.377715,355.735,1
0.0742243,13.6449,1
0.372837,349.687,1
0.363219,362.601,1
0.322077,505.148,1
0.33163,475.813,1
0.198339,93.7095,1
0.25769,680.885,-1
0.219008,808.368,-1
0.278831,553.662,-1
0.206297,924.25,-1
0.25362,700.339,-1
0.274181,477.678,-1
0.249465,322.88,-1
0.267843,292.419,-1
0.242419,718.379,-1
0.241189,363.944,-1
0.23623,574.24,-1
0.315669,696.05,-1
0.248757,957.352,-1
0.229847,892,-1
0.254845,112.291,-1
0.26449,201.989,-1
0.195305,704.415,-1
0.249367,633.416,-1
0.262677,805.676,-1
0.255046,506.38,-1
0.255666,931.895,-1
0.226445,606.774,-1
0.183988,529.694,-1
0.138512,277.479,-1
0.129396,346.166,-1
0.22839,664.878,-1
0.151785,277.123,-1
0.156721,502.837,-1
0.257163,550.086,-1
0.290326,953.222,-1
0.265998,899.754,-1
0.0883643,146.64,-1
0.0716439,88.1413,-1
0.200566,625.707,-1
0.241698,166.47,-1
0.325335,1078.59,-1
0.342551,1249.41,-1
0.34473,952.404,-1
0.344676,1373.03,-1
0.304138,1029.71,-1
0.207099,216.311,-1
0.277005,723.869,-1
0.222888,222.627,-1
0.306682,1108.43,-1
0.265438,718.47,-1
0.278263,942.662,-1
0.300567,888.95,-1
0.368336,1397.78,-1
0.357089,1340.73,-1
0.228676,358.988,-1
0.261664,534.285,-1
0.313944,1058.94,-1
0.304553,467.674,-1
0.247644,446.719,-1
0.246252,57.7346,1
0.342657,681.585,1
0.376897,706.752,1
0.318687,674.513,1
0.345326,538.436,1
0.256098,171.052,1
0.369899,531.92,1
0.338019,544.942,1
0.368674,684.894,1
0.332158,657.097,1
0.27715,269.758,1
0.257858,183.163,1
0.302432,1112.52,-1
0.309808,1272.71,-1
0.27984,985.119,-1
0.31001,1393.57,-1
0.270764,1074.82,-1
0.169958,145.887,-1
0.232161,753.109,-1
0.113494,200.27,-1
0.276356,1144.11,-1
0.220062,755.325,-1
0.214689,980.859,-1
0.248282,947.836,-1
0.3268,1421.66,-1
0.319201,1361.23,-1
0.168754,373.12,-1
0.190137,567.388,-1
0.273034,1100.54,-1
0.28579,475.287,-1
0.189597,479.256,-1
0.21012,72.8796,-1
0.215872,216.534,-1
0.253808,464.058,-1
0.214252,172.647,-1
0.248961,592.959,-1
0.153921,100.764,-1
0.209718,1035.88,-1
0.131155,290.182,-1
0.197075,851.497,-1
0.177646,220.71,-1
0.127443,237.603,-1
0.0950458,89.7112,-1
0.195798,276.663,-1
0.248685,579.588,-1
0.2463,566.96,-1
0.198725,645.046,-1
0.204832,422.616,-1
0.166416,131.543,-1
0.249277,601.021,-1
0.183224,506.192,-1
0.278003,932.074,-1
0.238171,975.912,-1
0.241414,309.266,-1
0.255909,465.913,-1
0.25185,182.224,-1
0.259105,593.728,-1
0.173133,358.564,-1
0.21446,842.244,-1
0.0826294,64.0736,-1
0.172011,654.155,-1
0.195868,346.926,-1
0.136561,125.393,-1
0.129597,215.964,-1
0.226653,480.826,-1
0.273334,613.054,-1
0.267194,561.819,-1
0.190879,446.863,-1
0.176212,255.178,-1
0.189667,345.635,-1
0.255436,371.645,-1
0.1454,340.226,-1
0.273848,785.895,-1
0.219057,813.492,-1
0.141447,271.371,-1
0.249121,27.9446,1
0.291259,750.126,1
0.351156,775.15,1
0.249826,743.944,1
0.317077,605.305,1
0.225125,238.571,1
0.32884,599.416,1
0.31689,612.311,1
0.356659,754.202,1
0.280411,725.459,1
0.192868,330.693,1
0.232764,249.737,1
0.203218,72.5699,1
0.323322,280.908,1
0.323329,470.525,1
0.400081,494.955,1
0.29152,467.644,1
0.371539,322.537,1
0.210497,66.0859,1
0.374596,318.154,1
0.361599,330.603,1
0.407395,477.291,1
0.349261,445.491,1
0.226873,44.8619,1
0.204904,52.8771,1
0.269345,224.897,1
0.221521,286.323,1
0.277328,721.872,-1
0.287392,900.394,-1
0.268442,596.12,-1
0.271943,1027.23,-1
0.246022,680.146,-1
0.211997,462.9,-1
0.177936,371.154,-1
0.142047,290.254,-1
0.24854,751.6,-1
0.198737,361.672,-1
0.18141,586.355,-1
0.269186,586.249,-1
0.310183,1047.51,-1
0.280074,995.136,-1
0.124955,135.014,-1
0.121609,179.652,-1
0.236001,704.968,-1
0.269373,212.752,-1
0.101424,96.0569,-1
0.269559,356.841,-1
0.191858,395.578,-1
0.219148,580.738,-1
0.180777,434.531,-1
0.297755,728.838,1
0.145128,12.3278,1
0.227793,37.1463,1
0.20816,21.5768,1
0.301632,141.559,1
0.33015,501.318,1
0.334203,143.473,1
0.302327,131.739,1
0.178341,22.2806,1
0.141119,18.4551,1
0.29252,421.166,1
0.32574,490.413,1
0.330101,671.121,1
0.294282,739.884,1
0.330411,461.081,1
0.222852,49.5163,1
0.317137,689.891,1
0.353025,715.046,1
0.302627,682.896,1
0.345775,546.572,1
0.21319,179.143,1
0.369928,540.117,1
0.339414,553.128,1
0.312671,693.268,1
0.321278,665.385,1
0.262935,277.147,1
0.235527,191.15,1
0.0989197,8.558,1
0.193762,64.0671,1
0.249543,232.297,1
0.306708,679.446,1
0.337676,309.354,1
0.302333,451.63,1
0.371865,475.612,1
0.280967,450.481,1
0.353385,302.412,1
0.178518,99.0759,1
0.368582,299.217,1
0.342106,311.235,1
0.332084,459.776,1
0.314231,426.509,1
0.185817,22.3607,1
0.177762,85.8068,1
0.273041,254.28,1
0.232372,313.096,1
0.239466,32.9956,1
0.312379,442.675,1
0.239784,261.395,1
0.271644,1007.35,-1
0.282316,1166.16,-1
0.268677,879.708,-1
0.29868,1287.15,-1
0.249998,974.786,-1
0.165023,184.196,-1
0.202606,647.142,-1
0.0941838,118.558,-1
0.251581,1039.44,-1
0.200028,651.544,-1
