ling,geo
0.278075,739.313
0.375253,764.484
0.210017,25.4664
0.292346,732.16
0.213177,28.8843
0.25905,45.6989
0.346465,596.087
0.292717,149.724
0.347678,173.29
0.303475,152.358
0.308669,228.653
0.300884,511.557
0.376022,536.596
0.281082,505.577
0.371598,367.446
0.344013,589.627
0.311779,152.491
0.373819,176.801
0.335025,152.407
0.172789,14.3652
0.357797,361.137
0.337893,602.641
0.273692,140.407
0.355291,164.459
0.295308,141.619
0.0950852,12.3876
0.35624,374.107
0.148232,13.242
0.332226,742.558
0.23813,24.4554
0.350539,35.9763
0.217797,11.1141
0.271553,160.442
0.317593,515.771
0.282939,161.156
0.264306,150.02
0.307891,714.83
0.126384,25.1297
0.210142,49.6922
0.195302,37.4115
0.250269,124.62
0.332592,486.906
0.295303,127.403
0.252968,115.281
0.204205,40.4948
0.270271,325.694
0.296756,430.242
0.330485,454.349
0.208764,428.711
0.34839,281.29
0.186272,107.352
0.349389,277.766
0.339287,289.904
0.341761,438.078
0.309916,405.135
0.324459,240.611
0.301344,500.54
0.383192,525.504
0.289605,495.03
0.377715,355.735
0.0742243,13.6449
0.372837,349.687
0.363219,362.601
0.322077,505.148
0.33163,475.813
0.198339,93.7095
0.246252,57.7346
0.342657,681.585
0.376897,706.752
0.318687,674.513
0.345326,538.436
0.256098,171.052
0.369899,531.92
0.338019,544.942
0.368674,684.894
0.332158,657.097
0.27715,269.758
0.257858,183.163
0.249121,27.9446
0.291259,750.126
0.351156,775.15
0.249826,743.944
0.317077,605.305
0.225125,238.571
0.32884,599.416
0.31689,612.311
0.356659,754.202
0.280411,725.459
0.192868,330.693
0.232764,249.737
0.203218,72.5699
0.323322,280.908
0.323329,470.525
0.400081,494.955
0.29152,467.644
0.371539,322.537
0.210497,66.0859
0.374596,318.154
0.361599,330.603
0.407395,477.291
0.349261,445.491
0.226873,44.8619
0.204904,52.8771
0.269345,224.897
0.221521,286.323
0.297755,728.838
0.145128,12.3278
0.227793,37.1463
0.20816,21.5768
0.301632,141.559
0.33015,501.318
0.334203,143.473
0.302327,131.739
0.178341,22.2806
0.141119,18.4551
0.29252,421.166
0.32574,490.413
0.330101,671.121
0.294282,739.884
0.330411,461.081
0.222852,49.5163
0.317137,689.891
0.353025,715.046
0.302627,682.896
0.345775,546.572
0.21319,179.143
0.369928,540.117
0.339414,553.128
0.312671,693.268
0.321278,665.385
0.262935,277.147
0.235527,191.15
0.0989197,8.558
0.193762,64.0671
0.249543,232.297
0.306708,679.446
0.337676,309.354
0.302333,451.63
0.371865,475.612
0.280967,450.481
0.353385,302.412
0.178518,99.0759
0.368582,299.217
0.342106,311.235
0.332084,459.776
0.314231,426.509
0.185817,22.3607
0.177762,85.8068
0.273041,254.28
0.232372,313.096
0.239466,32.9956
0.312379,442.675
0.239784,261.395
0.321667,370.11
0.306824,369.225
0.353656,394.376
0.284057,362.831
0.375856,227.621
0.164014,142.756
0.373087,220.178
0.363388,233.32
0.3405,373.049
0.3177,344.72
0.171402,92.5583
0.173422,132.503
0.268646,312.377
0.222632,381.166
0.206175,115.048
0.314401,358.83
0.249642,320.671
0.175718,113.003
0.333055,733.648
0.200381,7.12878
0.262849,30.8409
0.140557,32.2173
0.301188,143.141
0.283203,505.757
0.341471,146.198
0.295008,133.995
0.244455,29.8436
0.182559,18.8687
0.247068,423.888
0.287387,494.675
0.300255,675.916
0.249475,744.314
0.283032,464.319
0.195174,11.7961
0.272763,684.208
0.26913,445.228
0.264979,363.539
0.265336,265.538
0.287927,479.942
0.331676,504.652
0.2306,475.807
0.367044,333.303
0.189131,44.3123
0.377385,328.09
0.364997,340.791
0.304135,485.687
0.300133,455.029
0.169344,63.4589
0.188514,30.8147
0.305972,208.726
0.233491,272.644
0.221712,22.4846
0.307029,470.161
0.267972,216.415
0.220673,55.1327
0.2047,116.741
0.245318,473.893
0.303763,265.682
0.28921,482.911
0.325549,507.489
0.237817,479.375
0.367513,335.549
0.186941,50.4973
0.390031,330.752
0.353815,343.334
0.30778,489.148
0.29565,457.933
0.160347,60.6156
0.18525,37.6962
0.275554,209.387
0.207593,271.724
0.194704,16.2127
0.267352,473.292
0.242712,216.881
0.192589,48.9463
0.188764,122.639
0.229608,476.784
0.143203,10.5469
0.28793,314.885
0.303417,438.781
0.350963,463.02
0.234191,436.734
0.371083,290.174
0.164936,96.0323
0.376718,286.293
0.343381,298.564
0.297087,446.208
0.310609,413.696
0.1103,11.3441
0.157995,82.3921
0.278232,258.796
0.211448,320.217
0.218738,33.9834
0.305186,429.559
0.237769,266.233
0.200852,19.1803
0.160108,94.107
0.258458,432.483
0.198254,52.1157
0.16376,49.4859
0.341351,258.18
0.331905,488.153
0.389385,512.837
0.299145,484.119
0.369511,341.347
0.178869,40.7245
0.399147,336.23
0.361333,348.906
0.320627,493.983
0.326287,463.226
0.248774,69.2359
0.177134,27.996
0.295308,201.57
0.262801,264.904
0.208365,25.6688
0.344597,478.402
0.248611,209.178
0.205073,58.5942
0.211221,125.172
0.29807,482.088
0.188343,8.43951
0.18543,9.77289
0.24296,57.9659
0.248782,154.787
0.28276,587.862
0.344771,612.823
0.290292,582.223
0.336066,442.784
0.20876,76.7826
0.341974,436.917
0.326286,449.798
0.353682,592.377
0.28358,563.133
0.237059,171.385
0.213371,87.3219
0.21129,98.3753
0.174447,162.525
0.22469,126.523
0.284171,577.725
0.202795,105.843
0.227801,156.266
0.200458,219.465
0.264384,581.995
0.23379,110.777
0.212,111.04
0.205198,160.423
0.237992,103.397
0.176332,34.3507
0.307056,704.975
0.368581,730.151
0.299992,697.811
0.373967,561.892
0.251785,194.505
0.387153,555.367
0.367057,568.392
0.335807,708.208
